NP_000005	P01023
NP_000331	P11168
NP_000333	P02730
NP_000336	P37840
NP_000340	P49675
NP_000342	P08842
NP_000344	P17735
NP_000345	P05543
NP_000349	Q15582
NP_000351	P07101
NP_000353	P35625
NP_000354	P19429
NP_000356	P60174
NP_000358	P51580
NP_000360	P16473
NP_000362	P02766
NP_000364	P11172
NP_000365	P06132
NP_000366	P10746
NP_000372	O15344
NP_000373	P51648
NP_000377	Q13867
NP_000382	O14773
NP_000385	P02489
NP_000387	P43235
NP_000388	P04839
NP_000390	P11161
NP_000392	Q93063
NP_000394	Q14376
NP_000395	P16278
NP_000396	P17900
NP_000397	P30968
NP_000401	Q30201
NP_000402	P50747
NP_000403	P04196
NP_000404	P14061
NP_000405	P51659
NP_000407	P15260
NP_000411	P23276
NP_000414	P35908
NP_000420	Q00266
NP_000421	P43034
NP_000422	Q03426
NP_000423	P10916
NP_000424	P19878
NP_000425	Q99519
NP_000427	P55809
NP_000430	P29120
NP_000435	P78562
NP_000437	P27169
NP_000438	P49810
NP_000440	P48382
NP_000441	P16581
NP_000443	Q12908
NP_000444	Q92911
NP_000445	P00441
NP_000446	Q15831
NP_000447	P51687
NP_000448	P41235
NP_000452	P10828
NP_000454	P22309
NP_000466	P51843
NP_000469	P05186
NP_000472	P48728
NP_000474	P02655
NP_000476	P07741
NP_000477	P41181
NP_000478	P15289
NP_000479	P01008
NP_000482	P02746
NP_000484	Q03692
NP_000488	P15538
NP_000490	P04798
NP_000494	Q99502
NP_000495	P00742
NP_000496	P00748
NP_000498	P09467
NP_000500	P02679
NP_000501	P01225
NP_000503	P34059
NP_000505	P39905
NP_000507	P63092
NP_000509	P68871
NP_000511	P06865
NP_000520	Q01718
NP_000522	P00480
NP_000523	P05166
NP_000524	P60201
NP_000525	P54277
NP_000527	P55895
NP_000528	P00797
NP_000534	P17405
NP_000535	Q03519
NP_000537	P04637
NP_000538	P07202
NP_000540	P01222
NP_000541	P17643
NP_000542	P40337
NP_000545	O43186
NP_000548	P43026
NP_000558	P02741
NP_000560	P08637
NP_000563	P22301
NP_000565	P08174
NP_000566	P01583
NP_000567	P01584
NP_000572	P07203
NP_000574	P02774
NP_000578	P10643
NP_000581	P15248
NP_000586	P01374
NP_000590	P24593
NP_000601	P16070
NP_000617	P40259
NP_000620	P17181
NP_000630	P48023
NP_000633	P35573
NP_000653	P18440
NP_000657	Q03154
NP_000660	P00326
NP_000668	P33765
NP_000678	P23526
NP_000689	P09917
NP_000708	P22748
NP_000717	O00305
NP_000730	P08172
NP_000734	P32297
NP_000735	P43681
NP_000738	P11230
NP_000741	P30926
NP_000742	Q07001
NP_000745	P21964
NP_000748	P09603
NP_000749	P04141
NP_000752	P05177
NP_000753	P11509
NP_000758	P20813
NP_000762	P11712
NP_000764	P05181
NP_000766	P51589
NP_000768	P20815
NP_000776	O15528
NP_000778	P09172
NP_000779	P27707
NP_000785	P21728
NP_000786	P14416
NP_000787	P35462
NP_000802	Q16445
NP_000806	O14764
NP_000807	P18507
NP_000808	Q99259
NP_000812	P38435
NP_000819	P42263
NP_000837	P09210
NP_000844	P30711
NP_000851	P15428
NP_000854	P28222
NP_000858	P41595
NP_000859	P28335
NP_000860	P46098
NP_000875	P12268
NP_000883	P03952
NP_000890	P21583
NP_000905	P35372
NP_000911	P11498
NP_000916	P11177
NP_000943	P25105
NP_000954	P35354
NP_000966	P62913
NP_001001430	P45379
NP_001001548	P16671
NP_001002010	Q9H0P0
NP_001002261	Q5T4F4
NP_001003722	Q53GS7
NP_001004434	Q9BRI3
NP_001005360	P50570
NP_001005479	Q8NGV6
NP_001005487	Q8NGZ3
NP_001007533	Q8IWL8
NP_001012738	P47804
NP_001013	P39019
NP_001017535	P11473
NP_001018005	P09493
NP_001018087	P04150
NP_001019386	Q8WUP2
NP_001020372	P15882
NP_001020560	Q01432
NP_001028	Q07699
NP_001029027	Q96SD1
NP_001029288	Q9UI10
NP_001030126	Q9BX66
NP_001030	P51170
NP_001031	P04278
NP_001033	P14672
NP_001035147	P10451
NP_001035197	Q9UHC1
NP_001035257	Q8NES3
NP_001036167	Q0ZLH3
NP_001047	O00338
NP_001050	P29371
NP_001052	P24557
NP_001057	P20333
NP_001069	P19320
NP_001071121	Q9UMR3
NP_001073270	O75072
NP_001073585	O75112
NP_001073	P78329
NP_001075	O60568
NP_001076581	P43304
NP_001076	P01011
NP_001077431	P15884
NP_001079	Q16613
NP_001092138	Q8IWL1
NP_001092744	Q9BSI4
NP_001092	P60709
NP_001094	P35609
NP_001095886	P01042
NP_001096	Q04771
NP_001097	Q13705
NP_001103279	Q9NU63
NP_001107	O60503
NP_001127	Q15109
NP_001129	O00253
NP_001131	P16050
NP_001136	P03950
NP_001142	P12235
NP_001148	P50995
NP_001193	P12644
NP_001194	O00238
NP_001202	O60566
NP_001223	O14958
NP_001227	O75828
NP_001241	P25942
NP_001253	P42773
NP_001266	P10645
NP_001270	O60543
NP_001289	Q16281
NP_001294	Q12887
NP_001299	P15169
NP_001354	O60832
NP_001373	Q9H3H5
NP_001376	Q14117
NP_001405	Q14232
NP_001412	Q99607
NP_001428	Q92731
NP_001434	P07148
NP_001440	Q13642
NP_001451	Q99518
NP_001461	Q9UBS5
NP_001477	Q14397
NP_001482	Q06430
NP_001482	Q8NFS9
NP_001484	P31150
NP_001489	P48506
NP_001516	O43613
NP_001521	Q16665
NP_001549	Q13651
NP_001550	Q99665
NP_001553	Q14116
NP_001600	P45954
NP_001604	P62736
NP_001605	P63261
NP_001613	P02765
NP_001616	P54819
NP_001617	P31751
NP_001628	P28039
NP_001632	P27695
NP_001637	P55056
NP_001638	P05090
NP_001641	P55087
NP_001674	Q01814
NP_001683	P15313
NP_001692	Q14032
NP_001701	P00751
NP_001704	Q93088
NP_001710	P18075
NP_001720	P35070
NP_001728	P02748
NP_001729	P00915
NP_001743	P04040
NP_001747	P08185
NP_001748	P16152
NP_001762	P20273
NP_001766	P28907
NP_001776	P32320
NP_001809	P17516
NP_001815	P06732
NP_001822	P10909
NP_001835	P02458
NP_001854	P14854
NP_001863	Q96IY4
NP_001867	P50416
NP_001876	P02511
NP_001877	P53673
NP_001878	P53674
NP_001879	Q14894
NP_001884	P48730
NP_001885	P49674
NP_001893	P32929
NP_001902	P08311
NP_001905	P00167
NP_001963	P08246
NP_001970	P34913
NP_001976	P38117
NP_001991	P24071
NP_002010	P17948
NP_002012	Q01740
NP_002020	P21462
NP_002023	P02794
NP_002040	P15976
NP_002046	P14136
NP_002051	P35212
NP_002056	P15104
NP_002078	P28799
NP_002090	P02724
NP_002091	P06028
NP_002099	P42357
NP_002112	P04440
NP_002118	P17693
NP_002139	P28358
NP_002141	P32754
NP_002144	P37059
NP_002147	P10809
NP_002155	P14902
NP_002171	P38935
NP_002172	Q14623
NP_002176	P16871
NP_002182	P05111
NP_002208	Q06033
NP_002216	P26440
NP_002232	P78508
NP_002233	O60928
NP_002248	P06870
NP_002264	P05787
NP_002265	P13646
NP_002285	P13473
NP_002287	Q14739
NP_002291	P07195
NP_002303	P49917
NP_002307	O60663
NP_002342	O60880
NP_002404	Q99735
NP_002416	P09238
NP_002418	P45452
NP_002425	P29372
NP_002426	P34949
NP_002428	P39210
NP_002440	P35548
NP_002459	Q99836
NP_002460	P23409
NP_002491	Q13562
NP_002497	P01138
NP_002533	O15527
NP_002534	P78380
NP_002535	P23515
NP_002537	O00300
NP_002606	P36955
NP_002609	Q92968
NP_002612	P27918
NP_002630	P36952
NP_002635	P01833
NP_002644	P78337
NP_002645	P14618
NP_002649	P00749
NP_002658	P26678
NP_002677	P11086
NP_002681	P06746
NP_002691	Q15319
NP_002725	P10644
NP_002734	P14314
NP_002752	P04553
NP_002755	P60891
NP_002761	P07478
NP_002791	P28065
NP_002846	Q15223
NP_002854	P06737
NP_002863	P15153
NP_002869	O75771
NP_002881	P20936
NP_002896	Q92781
NP_002897	P35241
NP_002914	P41220
NP_002991	P21912
NP_002992	Q99643
NP_002993	O14521
NP_002997	Q14242
NP_003009	P11686
NP_003010	P35247
NP_003032	P31639
NP_003044	P54219
NP_003048	O15245
NP_003049	O15244
NP_003051	O76082
NP_003061	P51531
NP_003064	Q12824
NP_003110	Q9UQ90
NP_003113	P00995
NP_003156	P61764
NP_003163	Q15526
NP_003170	P08247
NP_003203	P13385
NP_003211	P05549
NP_003218	Q9UP52
NP_003233	P37173
NP_003246	P16035
NP_003254	Q15399
NP_003255	O60603
NP_003256	O15455
NP_003271	P63316
NP_003273	P48788
NP_003280	P07951
NP_003287	P16562
NP_003312	P49411
NP_003313	O00294
NP_003323	O43914
NP_003346	P55851
NP_003456	Q13231
NP_003467	P50461
NP_003476	Q15743
NP_003481	O14994
NP_003562	Q13515
NP_003579	Q13620
NP_003593	O75344
NP_003664	O15273
NP_003671	P54577
NP_003679	O14936
NP_003681	O75569
NP_003712	O14593
NP_003713	Q9H3D4
NP_003730	P42330
NP_003739	P30038
NP_003772	O75752
NP_003826	O75916
NP_003850	O60762
NP_003856	Q9UBX0
NP_003869	Q92820
NP_003871	O95389
NP_003876	Q15078
NP_003880	O75469
NP_003882	P22891
NP_003891	Q13501
NP_003910	O43556
NP_003912	O95999
NP_003916	O95243
NP_003928	Q16719
NP_003973	Q9UM01
NP_003992	P31994
NP_003997	P11532
NP_004026	Q15067
NP_004035	P31939
NP_004039	P61769
NP_004047	P35219
NP_004055	P46527
NP_004073	Q14203
NP_004076	O60220
NP_004096	Q12805
NP_004106	Q92915
NP_004123	Q14520
NP_004139	Q92982
NP_004151	P10082
NP_004159	P31040
NP_004160	P34896
NP_004172	P09936
NP_004174	O76090
NP_004203	O43868
NP_004204	O00337
NP_004243	O14745
NP_004282	Q16568
NP_004319	Q9Y276
NP_004324	P15056
NP_004325	Q10588
NP_004348	P48509
NP_004357	P51788
NP_004420	P98172
NP_004444	Q16134
NP_004453	P37268
NP_004456	O15520
NP_004470	Q11130
NP_004473	Q14435
NP_004475	P51654
NP_004484	Q99714
NP_004488	P55318
NP_004508	Q13418
NP_004521	P08253
NP_004542	O75489
NP_004553	O60260
NP_004568	P78330
NP_004577	P51812
NP_004580	O75880
NP_004604	P21980
NP_004616	O00755
NP_004620	O15287
NP_004646	Q9Y2T1
NP_004661	O95340
NP_004689	O43395
NP_004702	O43759
NP_004724	O00400
NP_004729	O95292
NP_004735	O95237
NP_004743	O75603
NP_004781	Q4U2R8
NP_004788	Q15848
NP_004811	O75881
NP_004823	P78417
NP_004853	Q99732
NP_004861	O75352
NP_004888	Q9UNW1
NP_004915	O43707
NP_004950	Q13285
NP_004951	P35637
NP_004983	P51608
NP_004997	P28331
NP_005017	O00329
NP_005019	P48426
NP_005027	Q07869
NP_005046	Q13702
NP_005064	P46059
NP_005075	Q13093
NP_005088	O95970
NP_005113	Q14994
NP_005114	Q96RI1
NP_005129	O43819
NP_005132	P02675
NP_005133	P27352
NP_005150	P68032
NP_005154	P31749
NP_005171	P35226
NP_005190	P07510
NP_005205	P16410
NP_005209	P60022
NP_005251	O60383
NP_005253	P55789
NP_005288	Q99705
NP_005294	O14842
NP_005305	P30550
NP_005324	P53701
NP_005334	P01112
NP_005350	Q13485
NP_005374	Q9Y3R4
NP_005439	O95972
NP_005445	O95813
NP_005451	Q9Y6H5
NP_005463	Q9Y6H6
NP_005467	Q9Y223
NP_005496	Q8WTV0
NP_005497	Q14108
NP_005509	P54868
NP_005526	P42701
NP_005534	P51460
NP_005537	Q08881
NP_005545	P02538
NP_005557	P00338
NP_005563	P02545
NP_005572	P50895
NP_005578	Q02078
NP_005580	Q02252
NP_005583	O15146
NP_005613	Q53FZ2
NP_005661	O95278
NP_005668	Q9Y215
NP_005684	Q13133
NP_005701	O60828
NP_005717	P43897
NP_005758	P43657
NP_005778	Q92685
NP_005833	O43597
NP_005882	Q9BWD1
NP_005893	P84022
NP_005901	P10636
NP_005937	P04731
NP_005949	P48039
NP_005973	Q15475
NP_005980	P51857
NP_006000	Q71U36
NP_006024	Q9Y5X9
NP_006059	Q9Y2C9
NP_006083	Q9Y239
NP_006112	P04264
NP_006148	Q92832
NP_006163	P01160
NP_006184	O43316
NP_006202	P01210
NP_006205	O14832
NP_006208	O75830
NP_006218	P55058
NP_006278	P10646
NP_006281	P21580
NP_006320	Q9UBX5
NP_006334	Q12866
NP_006342	O43615
NP_006403	O15120
NP_006423	P61916
NP_006437	Q9Y6L6
NP_006507	P11166
NP_006527	Q9UQC9
NP_006570	Q15125
NP_006571	Q9Y5I7
NP_006623	O00476
NP_006665	Q6MZN7
NP_006735	P02753
NP_006746	P37837
NP_006774	O95452
NP_008822	P07320
NP_008825	P31513
NP_008826	P50135
NP_008830	O43837
NP_008846	O75695
NP_008848	P48443
NP_008849	O75845
NP_008872	P56693
NP_008896	P17028
NP_008927	O60779
NP_008966	O60938
NP_008999	Q14565
NP_009014	P53370
NP_009034	P49821
NP_009057	P55072
NP_009100	Q9UBM1
NP_009135	Q9UHI6
NP_009146	Q9UHN1
NP_009186	Q9UBV7
NP_009187	O94956
NP_009203	Q99895
NP_009225	P38398
NP_009296	Q12794
NP_009330	P42224
NP_031374	P18850
NP_036192	O00429
NP_036196	P30301
NP_036199	O95154
NP_036205	P48643
NP_036311	Q9Y3I1
NP_036320	Q12951
NP_036325	Q9ULV1
NP_036342	Q13049
NP_036467	O00160
NP_036563	O15041
NP_036584	O14836
NP_036595	Q9Y487
NP_037383	Q9UHF0
NP_037471	Q9Y672
NP_037479	Q13156
NP_054728	Q9BZS1
NP_054762	Q9UQN3
NP_054831	Q9UHF7
NP_054859	Q9NZC9
NP_054884	Q9P032
NP_055037	P51970
NP_055054	P49770
NP_055066	Q9UJS0
NP_055067	Q9Y619
NP_055071	Q9Y2A9
NP_055085	P82251
NP_055112	O95571
NP_055148	Q9BY67
NP_055151	Q9NZN9
NP_055174	Q9UBM4
NP_055177	Q6NVY1
NP_055180	Q9UJY1
NP_055206	Q15327
NP_055217	O14949
NP_055281	Q9UIF3
NP_055282	O60687
NP_055306	O15409
NP_055310	Q9Y5C1
NP_055400	Q9NP59
NP_055444	O15013
NP_055469	O75056
NP_055521	Q15020
NP_055577	Q15392
NP_055861	Q7Z333
NP_055864	O60296
NP_055889	O60333
NP_055917	O75161
NP_055922	Q9UPP1
NP_055981	Q15049
NP_056000	O43307
NP_056109	O94972
NP_056155	Q15031
NP_056179	Q9Y6Y9
NP_056189	Q9UH99
NP_056303	Q8N490
NP_056321	Q9Y4U1
NP_056375	O60313
NP_056442	Q5SW96
NP_056444	Q8WWY3
NP_056451	Q9UI10
NP_056480	Q9NRG9
NP_056517	Q9H3L0
NP_056528	Q7LG56
NP_056532	Q9UJ71
NP_056949	Q13336
NP_056953	P37231
NP_056965	Q9UBP4
NP_056968	O43462
NP_057006	Q15738
NP_057049	Q9P0J0
NP_057075	P02745
NP_057090	Q8WTS1
NP_057097	Q9Y375
NP_057116	Q9Y397
NP_057122	Q9Y3A5
NP_057264	Q9UMX9
NP_057270	Q9UK55
NP_057287	Q9UGJ0
NP_057419	O43272
NP_057436	Q9UI42
NP_057452	Q9NPH2
NP_057526	Q9NZ08
NP_057573	Q9H0P0
NP_057597	Q9UPZ9
NP_057646	Q9NYK1
NP_057683	Q9NPC6
NP_057685	Q9NPC2
NP_058628	Q9NPC8
NP_058650	Q9Y458
NP_059125	Q9HAY6
NP_059127	Q9UGI9
NP_059132	Q9NPC4
NP_059488	P08684
NP_060011	P22914
NP_060123	Q7RTS9
NP_060293	Q9BVJ7
NP_060308	Q9NX24
NP_060345	Q96DW6
NP_060372	Q9NWT6
NP_060405	Q8NDB2
NP_060525	Q96S42
NP_060547	Q9NW13
NP_060551	Q9BUR4
NP_060570	Q5JVL4
NP_060575	Q9NVV9
NP_060592	Q6PI48
NP_060597	Q9BQ52
NP_060599	Q9NVS9
NP_060712	Q96FL8
NP_060814	Q9BZD2
NP_060859	Q96A29
NP_060954	Q9NSA0
NP_060955	Q9P296
NP_061008	Q96PL5
NP_061118	Q9NPE3
NP_061132	Q9NRI5
NP_061764	Q9UBY8
NP_061820	P99999
NP_061825	P17509
NP_061833	Q14749
NP_061845	Q8TB36
NP_061850	Q9NZ94
NP_061857	Q8WYL5
NP_061948	Q9HAW8
NP_062823	Q9NS82
NP_063941	P41968
NP_064551	Q96RQ3
NP_064593	Q9NP91
NP_064632	Q8NI60
NP_065074	Q9P286
NP_065160	P55000
NP_065169	Q9UJQ4
NP_065394	Q9GZU1
NP_065434	Q16671
NP_065683	Q9HBG4
NP_065711	Q9UKL4
NP_065737	P80404
NP_065838	Q9P2J8
NP_065851	Q9P2H3
NP_065969	Q9HCL2
NP_066124	P07949
NP_066269	P07315
NP_066278	P26927
NP_066279	Q9Y4Z2
NP_066549	Q93070
NP_066567	P01286
NP_066580	P46721
NP_066925	O43291
NP_066981	Q96RU7
NP_066999	Q9NQR9
NP_067091	P01571
NP_067628	Q9GZX3
NP_067641	Q9BYJ1
NP_067645	Q9GZX5
NP_068587	Q9GZV3
NP_068602	Q96RR1
NP_068605	P25874
NP_068657	P02671
NP_068754	Q9HC23
NP_068780	P28347
NP_068804	Q15466
NP_068813	Q9Y5Y6
NP_068815	Q96CV9
NP_068835	O95399
NP_071324	Q9H2C0
NP_071334	Q9GZT9
NP_071342	Q9H2A7
NP_071415	Q9HCC0
NP_071640	P25021
NP_071762	Q9H3S1
NP_071764	Q9BX79
NP_071801	Q13426
NP_071882	Q9H221
NP_071930	Q8NCE2
NP_073625	Q9H244
NP_075063	Q9H902
NP_075380	Q9BZR6
NP_075566	Q53H96
NP_076433	Q9HCS2
NP_076869	Q9BQB6
NP_076872	O75712
NP_076917	P47898
NP_076927	P57727
NP_076984	Q9BVK2
NP_077006	Q9BV36
NP_077010	Q9BV10
NP_077025	Q5TEU4
NP_077288	Q3T906
NP_077310	Q9BTV4
NP_077718	O75251
NP_078805	Q6P1J9
NP_078884	Q96FI4
NP_078925	Q8NFJ9
NP_078961	Q8TAM1
NP_078974	Q9H936
NP_079019	Q6UWM9
NP_079119	Q53TN4
NP_079160	Q9H9P8
NP_079197	Q8WVV4
NP_079272	Q96RP9
NP_079412	Q9H6K4
NP_079501	Q9NST1
NP_079519	Q9BZV2
NP_079535	O43196
NP_085915	P55344
NP_110388	P56705
NP_110397	Q9H3S3
NP_110400	Q9H4B7
NP_110404	O95528
NP_110414	Q9BXR6
NP_112218	Q9BXR5
NP_112503	P11511
NP_112569	Q8TBG4
NP_113631	Q9BSQ5
NP_114038	P30556
NP_114113	Q9BXU7
NP_114432	Q9BX63
NP_115497	Q9H0U3
NP_115498	Q96EV8
NP_115569	Q8TDP1
NP_115896	Q96JS3
NP_115934	P0CG36
NP_115934	P0CG37
NP_115970	Q9BYI3
NP_115972	Q96J66
NP_115990	Q96PE7
NP_115998	Q96KJ9
NP_116219	Q969X6
NP_116759	Q92851
NP_116760	Q9Y4J8
NP_149023	Q9C035
NP_149053	Q86WG3
NP_149075	Q9BXW9
NP_149109	Q9H1R3
NP_149354	P55075
NP_203123	P56539
NP_203129	Q969G2
NP_203693	O00159
NP_338599	Q9NSU2
NP_443077	Q96EY8
NP_443176	Q8WWX8
NP_476517	Q8WZ55
NP_477512	O95897
NP_477520	P58335
NP_478059	Q9Y617
NP_510867	P38936
NP_536723	Q96P15
NP_542402	Q8WWG9
NP_550438	Q16854
NP_570853	Q05086
NP_570901	Q6P5W5
NP_573419	O95704
NP_598004	Q8TDN2
NP_612396	Q9BUM1
NP_612459	Q969Q4
NP_619646	Q8TAP9
NP_619729	P21757
NP_620409	Q8TAA9
NP_640334	Q96M96
NP_640341	Q8WWY8
NP_644805	P40763
NP_644808	Q8NI22
NP_644810	Q8NI36
NP_647475	Q9BY76
NP_647480	Q8NDX2
NP_652763	O95500
NP_653082	P11488
NP_653164	P49247
NP_653176	Q6MZZ7
NP_653186	Q96S37
NP_653200	Q7RTP0
NP_659434	Q8NFG4
NP_659451	Q96M11
NP_659464	Q6ZMV9
NP_659483	Q96L12
NP_660201	P57796
NP_663729	Q8N5M1
NP_665877	O43708
NP_683708	P58753
NP_683762	Q8NHY5
NP_683763	Q8N6F1
NP_689476	P06753
NP_689509	P13637
NP_689597	Q8N3I7
NP_689656	Q96NR8
NP_689680	Q6JEL2
NP_689807	Q7Z699
NP_689831	Q6ZW61
NP_689922	Q6ZVD7
NP_689991	Q8NHS3
NP_689996	Q8N465
NP_694551	Q8N159
NP_694944	Q9NTQ9
NP_700359	P51814
NP_700476	Q99697
NP_705902	Q9BZ23
NP_733762	Q13191
NP_733931	P23560
NP_742105	O43526
NP_751951	Q9Y6J6
NP_758454	Q8IVH4
NP_758840	P32243
NP_758844	Q9NZ42
NP_758957	P02747
NP_758958	P59103
NP_775300	Q15583
NP_775489	Q8IWU9
NP_775748	Q495M9
NP_776159	Q6PEW1
NP_776250	Q8IWU4
NP_777367	P58418
NP_777604	Q6SA08
NP_778243	Q7Z2E3
NP_789787	P59533
NP_789794	Q8IWZ6
NP_795344	P32239
NP_808592	Q13510
NP_814444	O00204
NP_816931	Q9H0F7
NP_821080	Q9BVA1
NP_835366	O43602
NP_835465	Q96QA5
NP_835466	Q8IV16
NP_852608	Q9UPZ3
NP_852664	P27986
NP_861441	Q495M3
NP_872354	Q8TAF8
NP_872412	Q6ZMR5
NP_878899	Q3SXY8
NP_898871	P21953
NP_899050	Q9ULC3
NP_919438	O00522
NP_932766	P29972
NP_937839	P40200
NP_940799	Q92847
NP_940988	Q6VVB1
NP_940991	P35613
NP_945350	P58743
NP_954655	P07738
NP_958850	P09871
NP_963842	Q49MI3
NP_963925	O43548
NP_973730	P07992
NP_981932	Q6PHW0
NP_982301	Q9H237
NP_995580	P08949
NP_996917	P14138
NP_997001	Q6ZYL4
NP_997056	Q6W5P4
NP_997188	Q12950
NP_997235	Q6ZWL3
NP_998818	Q6ZVN8
